iter	RMSE
0	64.25328485
1	62.98868632
2	61.66900209
3	60.72506133
4	59.5189549
5	58.39233578
6	57.43105372
7	56.34664765
8	55.25637101
9	54.32801727
10	53.4742762
11	52.38007683
12	51.46035726
13	50.49381484
14	49.14951292
15	48.34063257
16	47.43532522
17	46.52080598
18	45.70818226
19	45.04788384
20	44.28373496
21	43.20108208
22	42.33850502
23	41.61648443
24	40.90957534
25	40.15777749
26	39.49816285
27	38.88648834
28	38.24011592
29	37.56646616
30	36.97998665
31	36.31157287
32	35.69635842
33	35.08778886
34	34.56596466
35	34.03667545
36	33.48348621
37	33.04113948
38	32.55798218
39	32.08231485
40	31.54769633
41	31.03640368
42	30.72354245
43	30.22188581
44	29.72835664
45	29.2407988
46	28.82093019
47	28.21279644
48	27.80270196
49	27.35315936
50	26.96124305
51	26.5758463
52	26.24972827
53	25.84245614
54	25.43142055
55	24.98310197
56	24.62926019
57	24.31826043
58	23.79726185
59	23.48293115
60	23.14666052
61	22.83836398
62	22.53256186
63	22.16271946
64	21.83110532
65	21.55306441
66	21.2282312
67	20.8307115
68	20.56752142
69	20.17186564
70	19.91181848
71	19.63756503
72	19.38208637
73	19.14666266
74	18.89800955
75	18.51638686
76	18.2413107
77	17.97283155
78	17.68952576
79	17.35000872
80	17.10395348
81	16.86497777
82	16.67707817
83	16.48319579
84	16.30042553
85	16.09644465
86	15.88850857
87	15.68186272
88	15.48694443
89	15.26443171
90	15.06665681
91	14.86463089
92	14.67693482
93	14.49752724
94	14.31288775
95	14.14642367
96	13.96828391
97	13.78299688
98	13.61276872
99	13.43443173
100	13.27816483
101	13.10617877
102	12.84958086
103	12.68517573
104	12.51709149
105	12.27847931
106	12.13258733
107	11.97991953
108	11.83560499
109	11.68487594
110	11.53631751
111	11.39218956
112	11.25824253
113	11.12505784
114	10.99191661
115	10.84774256
116	10.71239597
117	10.58425993
118	10.45399268
119	10.32516583
120	10.18987741
121	10.05648326
122	9.932847159
123	9.802801649
124	9.677517142
125	9.554728165
126	9.431007188
127	9.251498586
128	9.13419131
129	9.019312102
130	8.905124739
131	8.78991652
132	8.678637773
133	8.566286881
134	8.457905519
135	8.348513934
136	8.240114518
137	8.134175635
138	8.031389313
139	7.930163825
140	7.830041836
141	7.731464964
142	7.633933427
143	7.535257603
144	7.437959731
145	7.344243788
146	7.25309992
147	7.163147378
148	7.072965952
149	6.983954847
150	6.893720828
151	6.807032196
152	6.721466324
153	6.637007974
154	6.553642145
155	6.47135407
156	6.390129211
157	6.309953255
158	6.230812107
159	6.152691889
160	6.075578936
161	5.999459789
162	5.924321194
163	5.850150095
164	5.776933634
165	5.704659145
166	5.633314152
167	5.562886363
168	5.493363669
169	5.42473414
170	5.356986022
171	5.290107732
172	5.224087859
173	5.158915157
174	5.094578543
175	5.031067097
176	4.968370054
177	4.906476807
178	4.8453769
179	4.785060028
180	4.725516031
181	4.666734898
182	4.608706756
183	4.551421876
184	4.494870665
185	4.439043666
186	4.383931554
187	4.329525137
188	4.27581535
189	4.222793258
190	4.170450048
191	4.11877703
192	4.067765637
193	4.017407419
194	3.967694044
195	3.918617295
196	3.870169069
197	3.822341374
198	3.775126328
199	3.728516158
