iter	Passed	Remaining
0	2	434
1	3	380
2	6	429
3	8	431
4	10	402
5	12	390
6	13	382
7	15	369
8	17	369
9	19	362
10	20	354
11	22	350
12	23	342
13	25	336
14	26	331
15	28	327
16	29	322
17	31	320
18	33	317
19	34	312
20	36	309
21	37	306
22	38	299
23	40	295
24	41	292
25	43	291
26	45	288
27	46	285
28	47	282
29	49	279
30	50	276
31	52	274
32	53	271
33	55	268
34	56	266
35	58	264
36	59	262
37	61	260
38	63	262
39	67	269
40	69	270
41	71	269
42	73	268
43	75	266
44	76	264
45	78	263
46	80	261
47	81	259
48	83	257
49	85	255
50	86	253
51	88	251
52	90	250
53	91	248
54	93	247
55	96	248
56	98	246
57	100	245
58	101	242
59	103	241
60	105	239
61	106	238
62	108	236
63	110	234
64	112	232
65	113	230
66	115	228
67	117	227
68	118	225
69	120	223
70	122	222
71	124	220
72	126	219
73	127	217
74	129	215
75	130	213
76	132	211
77	134	209
78	135	207
79	137	206
80	138	204
81	140	202
82	142	200
83	143	198
84	151	205
85	153	203
86	155	202
87	157	200
88	159	198
89	161	196
90	162	194
91	164	193
92	166	191
93	168	189
94	169	187
95	171	186
96	173	184
97	175	182
98	177	181
99	179	179
100	181	177
101	183	176
102	185	174
103	186	172
104	188	170
105	190	168
106	191	166
107	193	164
108	195	162
109	196	160
110	198	159
111	199	157
112	201	155
113	203	153
114	204	151
115	206	149
116	208	147
117	209	145
118	211	144
119	213	142
120	215	140
121	217	138
122	218	136
123	220	134
124	221	132
125	223	131
126	225	129
127	227	127
128	229	126
129	230	124
130	232	122
131	234	120
132	235	118
133	237	116
134	238	115
135	240	113
136	241	111
137	243	109
138	245	107
139	246	105
140	248	103
141	249	102
142	251	100
143	252	98
144	254	96
145	255	94
146	257	92
147	260	91
148	261	89
149	263	87
150	265	86
151	266	84
152	268	82
153	269	80
154	271	78
155	272	76
156	274	75
157	275	73
158	277	71
159	279	69
160	281	68
161	282	66
162	284	64
163	286	62
164	290	61
165	294	60
166	296	58
167	298	56
168	300	55
169	303	53
170	305	51
171	307	50
172	309	48
173	311	46
174	312	44
175	314	42
176	317	41
177	319	39
178	321	37
179	323	35
180	325	34
181	326	32
182	328	30
183	330	28
184	331	26
185	333	25
186	335	23
187	336	21
188	338	19
189	340	17
190	342	16
191	344	14
192	346	12
193	348	10
194	349	8
195	351	7
196	352	5
197	354	3
198	356	1
199	357	0
